[15-May-2021 18:11:47 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 11
[15-May-2021 18:12:48 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 11
[15-May-2021 18:14:06 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 11
[15-May-2021 18:19:10 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 11
[15-May-2021 18:20:22 Europe/Berlin] PHP Notice:  Undefined offset: 5 in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 10
[15-May-2021 18:20:22 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 11
[15-May-2021 18:20:32 Europe/Berlin] PHP Notice:  Undefined offset: 5 in D:\web\2021.05.14_home_privatnote\app\models\showMessage.php on line 9
[15-May-2021 18:21:44 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:06:53 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:06:53 Europe/Berlin] PHP Warning:  require_once(D:\web_php\2021.05.14_home_privatnote\app/controllers/MainBottomController.php): failed to open stream: No such file or directory in D:\web_php\2021.05.14_home_privatnote\app\routes.php on line 17
[26-May-2021 06:06:53 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'D:\web_php\2021.05.14_home_privatnote\app/controllers/MainBottomController.php' (include_path='D:\xampp\php\PEAR') in D:\web_php\2021.05.14_home_privatnote\app\routes.php on line 17
[26-May-2021 06:07:11 Europe/Berlin] PHP Warning:  require_once(D:\web_php\2021.05.14_home_privatnote\app/controllers/MainBottomController.php): failed to open stream: No such file or directory in D:\web_php\2021.05.14_home_privatnote\app\routes.php on line 17
[26-May-2021 06:07:11 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'D:\web_php\2021.05.14_home_privatnote\app/controllers/MainBottomController.php' (include_path='D:\xampp\php\PEAR') in D:\web_php\2021.05.14_home_privatnote\app\routes.php on line 17
[26-May-2021 06:13:55 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:16:24 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:17:21 Europe/Berlin] PHP Notice:  Undefined offset: 5 in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 10
[26-May-2021 06:17:21 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:17:21 Europe/Berlin] PHP Warning:  str_split() expects parameter 2 to be int, string given in D:\web_php\2021.05.14_home_privatnote\app\models\createLink.php on line 9
[26-May-2021 06:17:38 Europe/Berlin] PHP Warning:  str_split() expects parameter 2 to be int, string given in D:\web_php\2021.05.14_home_privatnote\app\models\createLink.php on line 9
[26-May-2021 06:17:38 Europe/Berlin] PHP Notice:  Trying to access array offset on value of type null in D:\web_php\2021.05.14_home_privatnote\app\models\createLink.php on line 10
[26-May-2021 06:19:50 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:22:40 Europe/Berlin] PHP Warning:  openssl_encrypt(): Using an empty Initialization Vector (iv) is potentially insecure and not recommended in D:\web_php\2021.05.14_home_privatnote\app\models\handle.php on line 11
[26-May-2021 06:22:40 Europe/Berlin] PHP Notice:  Array to string conversion in D:\web_php\2021.05.14_home_privatnote\app\models\createLink.php on line 10
